year,month,national_compliant,who_compliant,total_subdistricts,national_pct,who_pct
2022,october,4402,57,5968,73.76005361930295,0.9550938337801608
2022,september,5874,6,5968,98.42493297587131,0.10053619302949061
2023,april,3135,2,5968,52.53016085790885,0.03351206434316354
2023,august,5861,6,5968,98.20710455764075,0.10053619302949061
2023,december,1920,1,5968,32.171581769437,0.01675603217158177
2023,february,2292,2,5968,38.40482573726541,0.03351206434316354
2023,january,1610,2,5968,26.977211796246646,0.03351206434316354
2023,july,5831,8,5968,97.7044235924933,0.13404825737265416
2023,june,5394,7,5968,90.38203753351206,0.11729222520107238
2023,march,2555,2,5968,42.81166219839142,0.03351206434316354
2023,may,4385,1,5968,73.47520107238606,0.01675603217158177
2023,november,2292,1,5968,38.40482573726541,0.01675603217158177
2023,october,3396,1,5968,56.90348525469169,0.01675603217158177
2023,september,5853,8,5968,98.07305630026809,0.13404825737265416
2024,april,3176,0,5968,53.2171581769437,0
2024,august,5880,10,5968,98.5254691689008,0.1675603217158177
2024,december,2358,1,5968,39.51072386058981,0.01675603217158177
2024,february,2537,1,5968,42.51005361930295,0.01675603217158177
2024,january,1571,1,5968,26.323726541554958,0.01675603217158177
2024,july,5668,6,5968,94.97319034852548,0.10053619302949061
2024,june,4873,10,5968,81.65214477211796,0.1675603217158177
2024,march,3002,0,5968,50.30160857908847,0
2024,may,4009,2,5968,67.17493297587131,0.03351206434316354
2024,november,2116,1,5968,35.45576407506702,0.01675603217158177
2024,october,3819,35,5968,63.99128686327078,0.5864611260053619
2024,september,5918,10,5968,99.1621983914209,0.1675603217158177
